objects,id,name,line_no,line,zipcode,address,lat,lng,count,average,area,manager
location,B11,南港展覽館,1,文湖線,11568,台北市南港區南港路一段32號,25.055288,121.6175001,1267,411324,36,44%
location,B10,南港軟體園區,1,文湖線,11568,台北市南港區經貿二路183號,25.059905,121.615953,2525,543856,44,72%
location,B9,東湖,1,文湖線,11486,台北市內湖區康寧路三段235號,25.067147,121.611445,2187,458695,38,61%
location,B8,葫洲,1,文湖線,11486,台北市內湖區康寧路三段16號,25.072701,121.607158,1302,574872,41,86%
location,B7,大湖公園,1,文湖線,11477,台北市內湖區成功路五段11號,25.083845,121.602141,852,571681,44,77%
location,B6,內湖,1,文湖線,11489,台北市內湖區成功路四段186號,25.083661,121.594408,4131,582423,38,72%
location,B5,文德,1,文湖線,11475,台北市內湖區文德路214號,25.078532,121.584761,3083,546160,38,64%
location,B4,港墘,1,文湖線,11446,台北市內湖區內湖路一段663號,25.080028,121.575081,1613,548706,43,44%
location,B3,西湖,1,文湖線,11493,台北市內湖區內湖路一段256號,25.082133,121.567213,1203,558209,41,53%
location,B2,劍南路,1,文湖線,10464,台北市中山區北安路798號,25.084853,121.555592,2215,696456,51,84%
location,B1,大直,1,文湖線,10465,台北市中山區北安路534之1號,25.079477,121.546895,1111,657744,42,64%
location,BR1,松山機場,1,文湖線,10576,台北市松山區敦化北路338號,25.063,121.551996,492,732023,38,46%
location,BR2,中山國中,1,文湖線,10476,台北市中山區復興北路376號,25.060849,121.544227,1849,624574,35,49%
location,BR3,南京復興,1,文湖線,10550,台北市松山區南京東路三段253號,25.052319,121.544011,2006,750255,40,73%
location,BR4,忠孝復興,1,文湖線,10654,台北市大安區忠孝東路四段47號,25.041629,121.543767,1685,858885,36,72%
location,BR5,大安,1,文湖線,10683,台北市大安區信義路四段2號,25.032943,121.543551,1057,927935,33,69%
location,BR6,科技大樓,1,文湖線,10667,台北市大安區復興南路二段235號,25.026125,121.543437,1752,787946,37,62%
location,BR7,六張犁,1,文湖線,10674,台北市大安區和平東路三段168號,25.023777,121.553115,1716,665323,34,47%
location,BR8,麟光,1,文湖線,10676,台北市大安區和平東路三段410號,25.018535,121.558791,958,541113,30,35%
location,BR9,辛亥,1,文湖線,11694,台北市文山區辛亥路四段128號,25.005475,121.557107,1663,431454,32,69%
location,BR10,萬芳醫院,1,文湖線,11696,台北市文山區興隆路三段113號,24.999386,121.558152,3947,433611,33,57%
location,BR11,萬芳社區,1,文湖線,11653,台北市文山區萬芳路60號,24.998585,121.568102,2744,451408,44,73%
location,BR12,木柵,1,文湖線,11656,台北市文山區木柵路四段135號,24.998241,121.573145,847,429295,34,67%
location,BR13,動物園,1,文湖線,11656,台北市文山區新光路二段32號,24.998197,121.579338,1441,404374,42,78%
